INFO 2026-02-15 00:23:52,837 basehttp "GET /static/admin/js/urlify.js HTTP/1.1" 304 0
INFO 2026-02-15 00:23:52,840 basehttp "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 304 0
INFO 2026-02-15 00:23:52,899 basehttp "GET /static/admin/img/icon-yes.svg HTTP/1.1" 200 436
INFO 2026-02-15 00:23:52,914 basehttp "GET /static/admin/js/filters.js HTTP/1.1" 304 0
INFO 2026-02-15 00:23:52,915 basehttp "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
INFO 2026-02-15 00:23:52,923 basehttp "GET /static/admin/img/icon-no.svg HTTP/1.1" 200 560
INFO 2026-02-15 00:23:52,937 basehttp "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 304 0
INFO 2026-02-15 00:23:52,938 basehttp "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 304 0
INFO 2026-02-15 00:23:52,974 basehttp "GET /static/admin/img/icon-viewlink.svg HTTP/1.1" 304 0
INFO 2026-02-15 00:23:53,008 basehttp "GET /static/admin/img/sorting-icons.svg HTTP/1.1" 200 1097
INFO 2026-02-15 00:24:07,558 basehttp "GET /admin/careers/career/ HTTP/1.1" 200 18926
INFO 2026-02-15 00:24:07,629 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-15 00:24:10,500 basehttp "GET /admin/careers/career/add/ HTTP/1.1" 200 21853
INFO 2026-02-15 00:24:10,580 basehttp "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 304 0
INFO 2026-02-15 00:24:10,581 basehttp "GET /static/admin/css/forms.css HTTP/1.1" 304 0
INFO 2026-02-15 00:24:10,611 basehttp "GET /static/admin/js/change_form.js HTTP/1.1" 304 0
INFO 2026-02-15 00:24:10,613 basehttp "GET /static/admin/css/widgets.css HTTP/1.1" 304 0
INFO 2026-02-15 00:24:10,622 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-15 00:24:16,958 basehttp "GET /admin/scholarships/scholarship/ HTTP/1.1" 200 20103
INFO 2026-02-15 00:24:17,096 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-15 00:44:11,457 basehttp "GET / HTTP/1.1" 200 67
INFO 2026-02-15 00:47:53,132 basehttp "GET / HTTP/1.1" 200 67
INFO 2026-02-15 00:54:59,929 basehttp "GET /admin/scholarships/scholarship/ HTTP/1.1" 200 20103
INFO 2026-02-15 00:54:59,972 basehttp "GET /static/admin/css/base.css HTTP/1.1" 304 0
INFO 2026-02-15 00:54:59,974 basehttp "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
INFO 2026-02-15 00:54:59,979 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
INFO 2026-02-15 00:54:59,979 basehttp "GET /static/admin/css/changelists.css HTTP/1.1" 304 0
INFO 2026-02-15 00:54:59,984 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
INFO 2026-02-15 00:54:59,988 basehttp "GET /static/admin/js/theme.js HTTP/1.1" 304 0
INFO 2026-02-15 00:54:59,996 basehttp "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
INFO 2026-02-15 00:55:00,004 basehttp "GET /static/admin/js/jquery.init.js HTTP/1.1" 304 0
INFO 2026-02-15 00:55:00,010 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-15 00:55:00,012 basehttp "GET /static/admin/js/core.js HTTP/1.1" 304 0
INFO 2026-02-15 00:55:00,020 basehttp "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 304 0
INFO 2026-02-15 00:55:00,028 basehttp "GET /static/admin/js/urlify.js HTTP/1.1" 304 0
INFO 2026-02-15 00:55:00,032 basehttp "GET /static/admin/js/prepopulate.js HTTP/1.1" 304 0
INFO 2026-02-15 00:55:00,038 basehttp "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 304 0
INFO 2026-02-15 00:55:00,043 basehttp "GET /static/admin/img/search.svg HTTP/1.1" 304 0
INFO 2026-02-15 00:55:00,045 basehttp "GET /static/admin/js/actions.js HTTP/1.1" 304 0
INFO 2026-02-15 00:55:00,087 basehttp "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
INFO 2026-02-15 00:55:00,088 basehttp "GET /static/admin/js/filters.js HTTP/1.1" 304 0
INFO 2026-02-15 00:55:00,130 basehttp "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 304 0
